state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S116,111,Thiruvalla,തിരുവല്ല,Pathanamthitta,South Keralam,Q16137335,ADV.VARGHESE MAMMEN,Kerala Congress,ADV. MATHEW T THOMAS,Independent,4478,6/18,Result in Progress,2026-05-04 11:37:53
S116,32,Thiruvambady,തിരുവമ്പാടി,Kozhikode,North Keralam,Q13112497,C K KASIM,Indian Union Muslim League,LINTO JOSEPH,Communist Party of India (Marxist),3302,8/15,Result in Progress,2026-05-04 11:37:53
S116,134,Thiruvananthapuram,തിരുവനന്തപുരം,Thiruvananthapuram,South Keralam,Q16137289,C P JOHN,Communist Marxist,SUDHIR KARAMANA,Independent,3510,7/18,Result in Progress,2026-05-04 11:37:53
S117,90,Thodupuzha,തൊടുപുഴ,Idukki,Centeral Keralam,Q16133853,APU JOHN JOSEPH,Kerala Congress,CYRIAC CHAZHIKADAN,Kerala Congress (M),15861,6/17,Result in Progress,2026-05-04 11:37:53
S117,83,Thrikkakara,തൃക്കാക്കര,Ernakulam,Centeral Keralam,Q16137712,UMA THOMAS,Indian National Congress,ADV. PUSHPA DAS,Communist Party of India (Marxist),17543,7/19,Result in Progress,2026-05-04 11:37:53
S117,81,Thrippunithura,തൃപ്പൂണിത്തുറ,Ernakulam,Centeral Keralam,Q13112618,DEEPAK JOY,Indian National Congress,K N UNNIKRISHNAN,Communist Party of India (Marxist),6047,5/21,Result in Progress,2026-05-04 11:37:53
S117,67,Thrissur,തൃശ്ശൂർ,Thrissur,Centeral Keralam,Q7798271,RAJAN. J. PALLAN,Indian National Congress,ALANKODE LEELAKRISHNAN,Communist Party of India,12990,9/16,Result in Progress,2026-05-04 11:37:53
S117,49,Thrithala,തൃത്താല,Palakkad,Centeral Keralam,Q13112607,V T BALRAM,Indian National Congress,M B RAJESH,Communist Party of India (Marxist),3946,4/16,Result in Progress,2026-05-04 11:37:53
S117,45,Tirur,തിരൂർ,Malappuram,North Keralam,Q16137421,KURUKKOLI MOIDEEN,Indian Union Muslim League,V.ABDURAHIMAN,Communist Party of India (Marxist),6157,3/18,Result in Progress,2026-05-04 11:37:53
S117,43,Tirurangadi,തിരൂരങ്ങാടി,Malappuram,North Keralam,Q13112529,P M A SAMEER,Indian Union Muslim League,AJITH KOLADI,Communist Party of India,11233,4/15,Result in Progress,2026-05-04 11:37:53
S117,5,Thrikaripur,തൃക്കരിപ്പൂർ,Kasaragod,North Keralam,Q16137696,DR. V P P MUSTAFA,Communist,SANDEEP VARIER,Indian National Congress,3724,5/16,Result in Progress,2026-05-04 11:37:53
S117,3,Udma,ഉദുമ,Kasaragod,North Keralam,Q13110513,NEELAKANDAN,Indian National Congress,C H KUNHAMBU,Communist Party of India (Marxist),12970,5/17,Result in Progress,2026-05-04 11:37:53
S117,89,Udumbanchola,ഉടുമ്പൻചോല,Idukki,Centeral Keralam,Q16133944,ADV. SENAPATHY VENU,Indian National Congress,K.K. JAYACHANDRAN,Communist Party of India (Marxist),10234,8/15,Result in Progress,2026-05-04 11:37:53
S117,20,Vatakara,വടകര,Kozhikode,North Keralam,Q13114485,K K REMA,Revolutionary Marxist,M K BHASKARAN,Rashtriya Janata Dal,9379,8/14,Result in Progress,2026-05-04 11:37:53
S117,95,Vaikom,വൈക്കം,Kottayam,Centeral Keralam,Q13114860,P PRADEEP,Communist,K BINIMON,Indian National Congress,228,9/13,Result in Progress,2026-05-04 11:37:53
S117,42,Vallikkunnu,വള്ളിക്കുന്ന്,Malappuram,North Keralam,Q16135944,T V IBRAHIM,Indian Union Muslim League,ADV. MUSTHAFA,Independent,23096,6/17,Result in Progress,2026-05-04 11:37:53
S117,131,Vamanapuram,വാമനപുരം,Thiruvananthapuram,South Keralam,Q16136220,MUHAMMED SUDHEERSHA S,Indian National Congress,MURALEEDHARAN NAIR D K,Communist Party of India (Marxist),4086,6/20,Result in Progress,2026-05-04 11:37:53
S117,127,Varkala,വർക്കല,Thiruvananthapuram,South Keralam,Q16134163,ADV.V JOY,Communist,VARKALA KAHAR,Indian National Congress,2193,5/17,Result in Progress,2026-05-04 11:37:53
S117,133,Vattiyoorkavu,വട്ടിയൂർക്കാവ്,Thiruvananthapuram,South Keralam,Q13114513,K. MURALEEDHARAN,Indian National Congress,ADV. V.K PRASANTH,Communist Party of India (Marxist),1301,5/18,Result in Progress,2026-05-04 11:37:53
S117,41,Vengara,വേങ്ങര,Malappuram,North Keralam,Q13114838,K.M. SHAJI,Indian Union Muslim League,SABAH KUNDUPUZHAKKAL,Independent,9250,4/14,Result in Progress,2026-05-04 11:37:53
S117,79,Vypin,വൈപ്പിൻ,Ernakulam,Centeral Keralam,Q13114876,TONY CHAMMANY,Indian National Congress,ADV. M. B. SHYNI,Communist Party of India (Marxist),4020,9/16,Result in Progress,2026-05-04 11:37:53
S117,65,Wadakkanchery,വടക്കാഞ്ചേരി,Thrissur,Centeral Keralam,Q16135293,XAVIER CHITTILAPPILLY,Communist,P.N. VAISAKH,Indian National Congress,5283,10/17,Result in Progress,2026-05-04 11:37:53
S117,36,Wandoor,വണ്ടൂർ,Malappuram,North Keralam,Q16135444,A.P ANILKUMAR,Indian National Congress,DR.K.K DAMODARAN,Communist Party of India (Marxist),15817,6/19,Result in Progress,2026-05-04 11:37:53
