state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S112,125,Eravipuram,ഇരവിപുരം,Kollam,South Keralam,Q13110435,ADV.VISHNU MOHAN,Revolutionary Socialist,M.NOUSHAD,Communist Party of India (Marxist),5020,6/14,Result in Progress,2026-05-04 11:37:53
S112,34,Eranad,ഏറനാട്,Malappuram,North Keralam,Q13110769,P.K.BASHEER,Indian Union Muslim League,ADV.SHAFEER KIZHISSERI,Communist Party of India,16842,8/18,Result in Progress,2026-05-04 11:37:53
S112,96,Ettumanoor,ഏറ്റുമാനൂർ,Kottayam,Centeral Keralam,Q16135978,NATTAKOM SURESH,Indian National Congress,V. N. VASAVAN,Communist Party of India (Marxist),15292,7/13,Result in Progress,2026-05-04 11:37:53
S112,63,Guruvayur,ഗുരുവായൂർ,Thrissur,Centeral Keralam,Q5620568,C. H. RASHEED,Indian Union Muslim League,N. K. AKBAR,Communist Party of India (Marxist),1239,4/17,Result in Progress,2026-05-04 11:37:53
S112,107,Haripad,ഹരിപ്പാട്,Alappuzha,South Keralam,Q16137908,RAMESH CHENNITHALA,Indian National Congress,T.T.JISMON,Communist Party of India,16438,10/15,Result in Progress,2026-05-04 11:37:53
S112,91,Idukki,ഇടുക്കി,Idukki,Centeral Keralam,Q13110378,ROY K PAULOSE,Indian National Congress,ROSHY AUGUSTINE,Kerala Congress (M),12407,7/15,Result in Progress,2026-05-04 11:37:53
S112,9,Irikkur,ഇരിക്കൂർ,Kannur,North Keralam,Q13110432,ADV. SAJEEV JOSEPH,Indian National Congress,ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),16685,6/16,Result in Progress,2026-05-04 11:37:53
S112,70,Irinjalakuda,ഇരിങ്ങാലക്കുട,Thrissur,Centeral Keralam,Q6070028,ADV. THOMAS UNNIYADAN,Kerala Congress,DR.R.BINDU,Communist Party of India (Marxist),3849,10/16,Result in Progress,2026-05-04 11:37:53
S112,94,Kaduthuruthy,കടുത്തുരുത്തി,Kottayam,Centeral Keralam,Q13110914,ADV.MONS JOSEPH,Kerala Congress,NIRMALA JIMMY,Kerala Congress (M),16992,8/15,Result in Progress,2026-05-04 11:37:53
S112,69,Kaipamangalam,കയ്പമംഗലം,Thrissur,Centeral Keralam,Q6348174,K.K. VALSARAJ,Communist,T.M. NAZAR,Indian National Congress,2862,7/14,Result in Progress,2026-05-04 11:37:53
S112,77,Kalamassery,കളമശ്ശേരി,Ernakulam,Centeral Keralam,Q16134141,ADV. V E ABDUL GAFOOR,Indian Union Muslim League,P RAJEEVE,Communist Party of India (Marxist),3508,3/16,Result in Progress,2026-05-04 11:37:53
S112,7,Kalliasseri,കല്ല്യാശ്ശേരി,Kannur,North Keralam,Q13111077,M.VIJIN,Communist,ADV. RAJEEVAN KAPPACHERI,Indian National Congress,9929,8/14,Result in Progress,2026-05-04 11:37:53
S112,19,Kalpetta,കല്പറ്റ,Wayanad,North Keralam,Q13111054,ADV. T SIDDIQUE,Indian National Congress,P K ANIL KUMAR,Rashtriya Janata Dal,26872,9/17,Result in Progress,2026-05-04 11:37:53
